"DAY_OF_WEEK","CARRIER","ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID","DEP_TIME","WEATHER_DELAY",
1,"AA",12478,12892,"0855",,
1,"AA",12478,12892,"0854",,
1,"AA",12478,12892,"0859",,
1,"AA",12478,12892,"0853",,
1,"AA",12892,12478,"0854",,
1,"AA",12892,12478,"0901",,
1,"AA",12892,12478,"0906",,
1,"AA",12892,12478,"0854",,
1,"AA",12478,12892,"1209",,
1,"AA",12478,12892,"1149",,
1,"AA",12478,12892,"1150",,
1,"AA",12478,12892,"1156",,
1,"AA",12892,12478,"1234",,
1,"AA",12892,12478,"1228",,
1,"AA",12892,12478,"1232",,
1,"AA",12892,12478,"1225",,
1,"AA",12892,12478,"2149",,
1,"AA",12892,12478,"2155",,
1,"AA",12892,12478,"2205",,
1,"AA",12892,12478,"2155",0.00,
1,"AA",12478,14771,"1055",,
1,"AA",12478,14771,"1059",,
1,"AA",12478,14771,"1059",,
1,"AA",12478,14771,"1056",,
1,"AA",14771,12478,"1238",0.00,
1,"AA",14771,12478,"1224",,
1,"AA",14771,12478,"1221",,
1,"AA",14771,12478,"1231",,
1,"AA",14771,12478,"2225",,
1,"AA",14771,12478,"2232",0.00,
1,"AA",14771,12478,"2225",,
1,"AA",14771,12478,"2222",,
1,"AA",12478,12892,"1036",,
1,"AA",12478,12892,"1026",,
1,"AA",12478,12892,"1023",,
1,"AA",12478,12892,"1026",,
1,"AA",14771,12478,"1540",,
1,"AA",14771,12478,"1544",0.00,
1,"AA",14771,12478,"1700",0.00,
1,"AA",14771,12478,"1549",,
1,"AA",12478,12892,"1759",,
1,"AA",12478,12892,"1755",,
1,"AA",12478,12892,"1750",,
1,"AA",12478,12892,"1754",0.00,
1,"AA",12892,12478,"1459",,
1,"AA",12892,12478,"1502",,
1,"AA",12892,12478,"1459",,
1,"AA",12892,12478,"1457",,
1,"AA",12478,12892,"1956",,
1,"AA",12478,12892,"1951",,
1,"AA",12478,12892,"1958",,
1,"AA",12478,12892,"1955",,
1,"AA",12892,12478,"2309",,
1,"AA",12892,12478,"2312",,
1,"AA",12892,12478,"2313",,
1,"AA",12892,12478,"2309",,
1,"AA",12892,12478,"1311",,
1,"AA",12892,12478,"1312",,
1,"AA",12892,12478,"1325",,
1,"AA",12892,12478,"1312",,
1,"AA",12478,12892,"0827",,
1,"AA",12478,12892,"0800",,
1,"AA",12478,12892,"0759",,
1,"AA",12478,12892,"0819",,
1,"AA",12892,12478,"0754",,
1,"AA",12892,12478,"0754",,
1,"AA",12892,12478,"0758",,
1,"AA",12892,12478,"0755",,
1,"AA",12892,12478,"0957",,
1,"AA",12892,12478,"0957",,
1,"AA",12892,12478,"0957",,
1,"AA",12892,12478,"1004",,
1,"AA",14771,12478,"0806",,
1,"AA",14771,12478,"0755",,
1,"AA",14771,12478,"0759",,
1,"AA",14771,12478,"0801",,
1,"AA",12478,14771,"1721",0.00,
1,"AA",12478,14771,"1608",,
1,"AA",12478,14771,"1746",0.00,
1,"AA",12478,14771,"1613",,
1,"AA",12478,14771,"0757",0.00,
1,"AA",12478,14771,"0735",,
1,"AA",12478,14771,"0750",20.00,
1,"AA",12478,14771,"0731",,
1,"AA",12478,12892,"1422",,
1,"AA",12478,12892,"1430",,
1,"AA",12478,12892,"1617",0.00,
1,"AA",12478,12892,"1427",,
1,"AA",12892,12478,"0656",,
1,"AA",12892,12478,"0655",,
1,"AA",12892,12478,"0721",0.00,
1,"AA",12892,12478,"0700",,
1,"AA",12478,14679,"1806",0.00,
1,"AA",12478,14679,"1805",,
1,"AA",12478,14679,"1806",,
1,"AA",12478,14679,"1803",,
1,"AA",12478,12892,"1557",,
1,"AA",12478,12892,"1559",,
1,"AA",12478,12892,"1608",,
1,"AA",12478,12892,"1554",,
1,"AA",14679,12478,"0755",,
1,"AA",14679,12478,"0755",,
1,"AA",14679,12478,"0759",0.00,
1,"AA",14679,12478,"0805",,
1,"AA",12478,14771,"1839",,
1,"AA",12478,14771,"1832",,
1,"AA",12478,14771,"1944",0.00,
1,"AA",12478,14771,"1835",,
1,"AA",12892,12478,"1610",,
1,"AA",12892,12478,"1611",,
1,"AA",12892,12478,"1618",,
1,"AA",12892,12478,"1613",,
1,"AA",12478,12892,"1654",,
1,"AA",12478,12892,"1655",,
1,"AA",12478,12892,"1705",,
1,"AA",12478,12892,"1659",,
1,"AA",12478,12892,"1853",,
1,"AA",12478,12892,"1854",,
1,"AA",12478,12892,"1900",,
1,"AA",12478,12892,"1857",,
1,"AA",14747,12478,"1131",,
1,"AA",14747,12478,"1428",0.00,
1,"AA",14747,12478,"1130",,
1,"AA",14747,12478,"1133",,
1,"AA",12478,14747,"0724",,
1,"AA",12478,14747,"0718",,
1,"AA",12478,14747,"0722",,
1,"AA",12478,14747,"0720",,
1,"AA",14831,12478,"0831",,
1,"AA",14831,12478,"0840",,
1,"AA",14831,12478,"0830",,
1,"AA",14831,12478,"0830",,
1,"AA",12478,14679,"0710",,
1,"AA",12478,14679,"0700",,
1,"AA",12478,14679,"0649",,
1,"AA",12478,14679,"0655",,
1,"AA",14679,12478,"2211",,
1,"AA",14679,12478,"2204",,
1,"AA",14679,12478,"2215",0.00,
1,"AA",14679,12478,"2210",,
1,"AA",12478,14831,"1600",,
1,"AA",12478,14831,"1558",,
1,"AA",12478,14831,"1600",0.00,
1,"AA",12478,14831,"1552",,
1,"AA",12478,12954,"1650",,
1,"AA",12478,12954,"1647",,
1,"AA",12478,12954,"1657",,
1,"AA",12478,12954,"1652",,
1,"AA",12954,12478,"0727",,
1,"AA",12954,12478,"0727",,
1,"AA",12954,12478,"0730",,
1,"AA",12954,12478,"0726",,
1,"AA",12478,14908,"0749",0.00,
1,"AA",12478,14908,"0729",,
1,"AA",12478,14908,"0727",,
1,"AA",12478,14908,"0726",,
1,"AA",14908,12478,"1153",0.00,
1,"AA",14908,12478,"1140",,
1,"AA",14908,12478,"1142",,
1,"AA",14908,12478,"1144",,
1,"AA",14908,12478,"0749",,
1,"AA",14908,12478,"0749",,
1,"AA",14908,12478,"0751",,
1,"AA",14908,12478,"0912",0.00,
1,"AA",12478,14107,"0811",,
1,"AA",12478,14107,"0758",,
1,"AA",12478,14107,"0801",0.00,
1,"AA",12478,14908,"1634",,
1,"AA",12478,14908,"1633",,
1,"AA",12478,14908,"1642",,
1,"AA",12478,14908,"1633",,
1,"AA",14107,12478,"1224",,
1,"AA",14107,12478,"1226",,
1,"AA",14107,12478,"1235",0.00,
1,"AA",14107,12478,"1244",0.00,
1,"AA",12478,14831,"0711",,
1,"AA",12478,14831,"0700",,
1,"AA",12478,14831,"0659",,
1,"AA",12478,14831,"0700",,
1,"AA",14831,12478,"1139",,
1,"AA",14831,12478,"1133",0.00,
1,"AA",14831,12478,"1134",,
1,"AA",14831,12478,"1132",0.00,
1,"AA",12954,12478,"1154",,
1,"AA",12954,12478,"1151",,
1,"AA",12954,12478,"1213",0.00,
1,"AA",12954,12478,"1151",,
1,"AA",12478,12954,"0757",,
1,"AA",12478,12954,"0728",,
1,"AA",12478,12954,"0820",14.00,
1,"AA",12478,12954,"0725",,
1,"AA",12478,12954,"1824",,
1,"AA",12478,12954,"1813",,
1,"AA",12478,12954,"1839",,
1,"AA",12478,12954,"1816",,
1,"AA",12954,12478,"2112",,
1,"AA",12954,12478,"2110",,
1,"AA",12954,12478,"2121",0.00,
1,"AA",12954,12478,"2105",,
1,"AA",12478,14107,"1800",,
1,"AA",12478,14107,"1802",,
1,"AA",12478,14107,"1803",,
1,"AA",12478,14107,"1811",,
1,"AA",12953,13930,"",,
1,"AA",12953,13930,"0600",0.00,
1,"AA",12953,13930,"0607",,
1,"AA",12953,13930,"0558",,
1,"AA",12953,13930,"0631",,
1,"AA",12953,13930,"0622",,
1,"AA",12953,13930,"0637",,
1,"AA",12953,13930,"0706",0.00,
1,"AA",12953,13930,"",,
1,"AA",12953,13930,"0654",,
1,"AA",12953,13930,"0658",,
1,"AA",12953,13930,"0701",,
1,"AA",12953,13930,"0758",,
